Fine_step Time dt scale_factor Memory%
0.0 0.0 1.374e-12 1.0 0.5
1.0 1.37351e-12 7.245e-11 1.0 0.5
2.0 7.38244e-11 2.859e-08 1.0 0.5
3.0 2.86641e-08 1.699e-05 1.0 0.5
4.0 1.70164e-05 1.699e-05 1.0 0.5
5.0 3.4004e-05 1.699e-05 1.0 0.5
6.0 5.09917e-05 1.699e-05 1.0 0.5
7.0 6.79794e-05 1.699e-05 1.0 0.5
8.0 8.49671e-05 1.699e-05 1.0 0.5
9.0 0.000101955 1.699e-05 1.0 0.5
10.0 0.000118942 1.699e-05 1.0 0.5
11.0 0.00013593 1.699e-05 1.0 0.5
12.0 0.000152918 1.699e-05 1.0 0.5
13.0 0.000169906 1.699e-05 1.0 0.5
14.0 0.000186893 1.699e-05 1.0 0.5
15.0 0.000203881 1.699e-05 1.0 0.5
16.0 0.000220869 1.699e-05 1.0 0.5
17.0 0.000237856 1.699e-05 1.0 0.5
18.0 0.000254844 1.699e-05 1.0 0.5
19.0 0.000271832 1.699e-05 1.0 0.5
20.0 0.000288819 1.699e-05 1.0 0.5
21.0 0.000305807 1.699e-05 1.0 0.5
22.0 0.000322795 1.699e-05 1.0 0.5
23.0 0.000339782 1.699e-05 1.0 0.5
24.0 0.00035677 1.699e-05 1.0 0.5
25.0 0.000373758 1.699e-05 1.0 0.5
26.0 0.000390745 1.699e-05 1.0 0.5
27.0 0.000407733 1.699e-05 1.0 0.5
28.0 0.000424721 1.699e-05 1.0 0.5
29.0 0.000441709 1.699e-05 1.0 0.5
30.0 0.000458696 1.699e-05 1.0 0.5
31.0 0.000475684 1.699e-05 1.0 0.5
32.0 0.000492672 1.699e-05 1.0 0.5
33.0 0.000509659 1.699e-05 1.0 0.5
34.0 0.000526647 1.699e-05 1.0 0.5
35.0 0.000543635 1.699e-05 1.0 0.5
36.0 0.000560622 1.699e-05 1.0 0.5
37.0 0.00057761 1.699e-05 1.0 0.5
38.0 0.000594598 1.699e-05 1.0 0.5
39.0 0.000611585 1.699e-05 1.0 0.5
40.0 0.000628573 1.699e-05 1.0 0.5
41.0 0.000645561 1.699e-05 1.0 0.5
42.0 0.000662548 1.699e-05 1.0 0.5
43.0 0.000679536 1.699e-05 1.0 0.5
44.0 0.000696524 1.699e-05 1.0 0.5
45.0 0.000713511 1.699e-05 1.0 0.5
46.0 0.000730499 1.699e-05 1.0 0.5
47.0 0.000747487 1.699e-05 1.0 0.5
48.0 0.000764475 1.699e-05 1.0 0.5
49.0 0.000781462 1.699e-05 1.0 0.5
50.0 0.00079845 1.699e-05 1.0 0.5
51.0 0.000815438 1.699e-05 1.0 0.5
52.0 0.000832425 1.699e-05 1.0 0.5
53.0 0.000849413 1.699e-05 1.0 0.5
54.0 0.000866401 1.699e-05 1.0 0.5
55.0 0.000883388 1.699e-05 1.0 0.5
56.0 0.000900376 1.699e-05 1.0 0.5
57.0 0.000917364 1.699e-05 1.0 0.5
58.0 0.000934351 1.699e-05 1.0 0.5
59.0 0.000951339 1.699e-05 1.0 0.5
60.0 0.000968327 1.699e-05 1.0 0.5
61.0 0.000985314 1.699e-05 1.0 0.5
62.0 0.0010023 1.699e-05 1.0 0.5
63.0 0.00101929 1.699e-05 1.0 0.5
64.0 0.00103628 1.699e-05 1.0 0.5
65.0 0.00105327 1.699e-05 1.0 0.5
66.0 0.00107025 1.699e-05 1.0 0.5
67.0 0.00108724 1.699e-05 1.0 0.5
68.0 0.00110423 1.699e-05 1.0 0.5
69.0 0.00112122 1.699e-05 1.0 0.5
70.0 0.0011382 1.699e-05 1.0 0.5
71.0 0.00115519 1.699e-05 1.0 0.5
72.0 0.00117218 1.699e-05 1.0 0.5
73.0 0.00118917 1.699e-05 1.0 0.5
74.0 0.00120615 1.699e-05 1.0 0.5
75.0 0.00122314 1.699e-05 1.0 0.5
76.0 0.00124013 1.699e-05 1.0 0.5
77.0 0.00125712 1.699e-05 1.0 0.5
78.0 0.00127411 1.699e-05 1.0 0.5
79.0 0.00129109 1.699e-05 1.0 0.5
80.0 0.00130808 1.699e-05 1.0 0.5
81.0 0.00132507 1.699e-05 1.0 0.5
82.0 0.00134206 1.699e-05 1.0 0.5
83.0 0.00135904 1.699e-05 1.0 0.5
84.0 0.00137603 1.699e-05 1.0 0.5
85.0 0.00139302 1.699e-05 1.0 0.5
86.0 0.00141001 1.699e-05 1.0 0.5
87.0 0.00142699 1.699e-05 1.0 0.5
88.0 0.00144398 1.699e-05 1.0 0.5
89.0 0.00146097 1.699e-05 1.0 0.5
90.0 0.00147796 1.699e-05 1.0 0.5
91.0 0.00149495 1.699e-05 1.0 0.5
92.0 0.00151193 1.699e-05 1.0 0.5
93.0 0.00152892 1.699e-05 1.0 0.5
94.0 0.00154591 1.699e-05 1.0 0.5
95.0 0.0015629 1.699e-05 1.0 0.5
96.0 0.00157988 1.699e-05 1.0 0.5
97.0 0.00159687 1.699e-05 1.0 0.5
98.0 0.00161386 1.699e-05 1.0 0.5
99.0 0.00163085 1.699e-05 1.0 0.5
100.0 0.00164783 1.699e-05 1.0 0.5
101.0 0.00166482 1.699e-05 1.0 0.5
102.0 0.00168181 1.699e-05 1.0 0.5
103.0 0.0016988 1.699e-05 1.0 0.5
104.0 0.00171578 1.699e-05 1.0 0.5
105.0 0.00173277 1.699e-05 1.0 0.5
106.0 0.00174976 1.699e-05 1.0 0.5
107.0 0.00176675 1.699e-05 1.0 0.5
108.0 0.00178374 1.699e-05 1.0 0.5
109.0 0.00180072 1.699e-05 1.0 0.5
110.0 0.00181771 1.699e-05 1.0 0.5
111.0 0.0018347 1.699e-05 1.0 0.5
112.0 0.00185169 1.699e-05 1.0 0.5
113.0 0.00186867 1.699e-05 1.0 0.5
114.0 0.00188566 1.699e-05 1.0 0.5
115.0 0.00190265 1.699e-05 1.0 0.5
116.0 0.00191964 1.699e-05 1.0 0.5
117.0 0.00193662 1.699e-05 1.0 0.5
118.0 0.00195361 1.699e-05 1.0 0.5
119.0 0.0019706 1.699e-05 1.0 0.5
120.0 0.00198759 1.699e-05 1.0 0.5
121.0 0.00200458 1.699e-05 1.0 0.5
122.0 0.00202156 1.699e-05 1.0 0.5
123.0 0.00203855 1.699e-05 1.0 0.5
124.0 0.00205554 1.699e-05 1.0 0.5
125.0 0.00207253 1.699e-05 1.0 0.5
126.0 0.00208951 1.699e-05 1.0 0.5
127.0 0.0021065 1.699e-05 1.0 0.5
128.0 0.00212349 1.699e-05 1.0 0.5
129.0 0.00214048 1.699e-05 1.0 0.5
130.0 0.00215746 1.699e-05 1.0 0.5
131.0 0.00217445 1.699e-05 1.0 0.5
132.0 0.00219144 1.699e-05 1.0 0.5
133.0 0.00220843 1.699e-05 1.0 0.5
134.0 0.00222542 1.699e-05 1.0 0.5
135.0 0.0022424 1.699e-05 1.0 0.5
136.0 0.00225939 1.699e-05 1.0 0.5
137.0 0.00227638 1.699e-05 1.0 0.5
138.0 0.00229337 1.699e-05 1.0 0.5
139.0 0.00231035 1.699e-05 1.0 0.5
140.0 0.00232734 1.699e-05 1.0 0.5
141.0 0.00234433 1.699e-05 1.0 0.5
142.0 0.00236132 1.699e-05 1.0 0.5
143.0 0.0023783 1.699e-05 1.0 0.5
144.0 0.00239529 1.699e-05 1.0 0.5
145.0 0.00241228 1.699e-05 1.0 0.5
146.0 0.00242927 1.699e-05 1.0 0.5
147.0 0.00244626 1.699e-05 1.0 0.5
148.0 0.00246324 1.699e-05 1.0 0.5
149.0 0.00248023 1.699e-05 1.0 0.5
150.0 0.00249722 1.699e-05 1.0 0.5
151.0 0.00251421 1.699e-05 1.0 0.5
152.0 0.00253119 1.699e-05 1.0 0.6
153.0 0.00254818 1.699e-05 1.0 0.6
154.0 0.00256517 1.699e-05 1.0 0.6
155.0 0.00258216 1.699e-05 1.0 0.6
156.0 0.00259914 1.699e-05 1.0 0.6
157.0 0.00261613 1.699e-05 1.0 0.6
158.0 0.00263312 1.699e-05 1.0 0.6
159.0 0.00265011 1.699e-05 1.0 0.6
160.0 0.0026671 1.699e-05 1.0 0.6
161.0 0.00268408 1.699e-05 1.0 0.6
162.0 0.00270107 1.699e-05 1.0 0.6
163.0 0.00271806 1.699e-05 1.0 0.6
164.0 0.00273505 1.699e-05 1.0 0.6
165.0 0.00275203 1.699e-05 1.0 0.6
166.0 0.00276902 1.699e-05 1.0 0.7
167.0 0.00278601 1.699e-05 1.0 0.7
168.0 0.002803 1.699e-05 1.0 0.7
169.0 0.00281998 1.699e-05 1.0 0.7
170.0 0.00283697 1.699e-05 1.0 0.7
171.0 0.00285396 1.699e-05 1.0 0.7
172.0 0.00287095 1.699e-05 1.0 0.7
173.0 0.00288794 1.699e-05 1.0 0.7
174.0 0.00290492 1.699e-05 1.0 0.7
175.0 0.00292191 1.699e-05 1.0 0.7
176.0 0.0029389 1.699e-05 1.0 0.7
177.0 0.00295589 1.699e-05 1.0 0.7
178.0 0.00297287 1.699e-05 1.0 0.7
179.0 0.00298986 1.699e-05 1.0 0.7
180.0 0.00300685 1.699e-05 1.0 0.7
181.0 0.00302384 1.699e-05 1.0 0.7
182.0 0.00304082 1.699e-05 1.0 0.7
183.0 0.00305781 1.699e-05 1.0 0.7
184.0 0.0030748 1.699e-05 1.0 0.8
185.0 0.00309179 1.699e-05 1.0 0.8
186.0 0.00310878 1.699e-05 1.0 0.8
187.0 0.00312576 1.699e-05 1.0 0.8
188.0 0.00314275 1.699e-05 1.0 0.8
189.0 0.00315974 1.699e-05 1.0 0.8
190.0 0.00317673 1.699e-05 1.0 0.8
191.0 0.00319371 1.699e-05 1.0 0.8
192.0 0.0032107 1.699e-05 1.0 0.8
193.0 0.00322769 1.699e-05 1.0 0.8
194.0 0.00324468 1.699e-05 1.0 0.8
195.0 0.00326166 1.699e-05 1.0 0.8
196.0 0.00327865 1.699e-05 1.0 0.9
197.0 0.00329564 1.699e-05 1.0 0.9
198.0 0.00331263 1.699e-05 1.0 0.9
199.0 0.00332962 1.699e-05 1.0 0.9
200.0 0.0033466 1.699e-05 1.0 0.9
201.0 0.00336359 1.699e-05 1.0 0.9
202.0 0.00338058 1.699e-05 1.0 0.9
