Fine_step Time dt scale_factor Memory%
0.0 0.0 8.584e-14 1.0 1.9
1.0 8.58446e-14 1.073e-14 1.0 1.9
2.0 9.65752e-14 2.683e-15 1.0 1.9
3.0 9.92578e-14 6.707e-16 1.0 1.9
4.0 9.99285e-14 3.353e-16 1.0 1.9
5.0 1.00264e-13 3.533e-16 1.0 1.9
6.0 1.00617e-13 5.205e-16 1.0 1.9
7.0 1.01138e-13 8.785e-16 1.0 1.9
8.0 1.02016e-13 1.563e-15 1.0 1.9
9.0 1.03579e-13 1.441e-15 1.0 1.9
10.0 1.0502e-13 2.788e-15 1.0 1.9
11.0 1.07808e-13 2.7e-15 1.0 1.9
12.0 1.10508e-13 5.318e-15 1.0 1.9
13.0 1.15826e-13 5.236e-15 1.0 1.9
14.0 1.21062e-13 1.039e-14 1.0 1.9
15.0 1.31453e-13 1.031e-14 1.0 1.9
16.0 1.41762e-13 2.053e-14 1.0 1.9
17.0 1.62297e-13 4.09e-14 1.0 1.9
18.0 2.03198e-13 8.153e-14 1.0 1.9
19.0 2.84725e-13 1.627e-13 1.0 1.9
20.0 4.47394e-13 3.248e-13 1.0 1.9
21.0 7.72242e-13 1.298e-12 1.0 1.9
22.0 2.07042e-12 5.188e-12 1.0 1.9
23.0 7.25882e-12 4.149e-11 1.0 1.9
24.0 4.87449e-11 6.635e-10 1.0 1.9
25.0 7.12272e-10 4.245e-08 1.0 1.9
26.0 4.31669e-08 2.123e-06 1.0 1.9
27.0 2.16663e-06 2.123e-06 1.0 1.9
28.0 4.29009e-06 2.123e-06 1.0 1.9
29.0 6.41355e-06 2.123e-06 1.0 1.9
30.0 8.53701e-06 2.123e-06 1.0 1.9
31.0 1.06605e-05 2.123e-06 1.0 1.9
32.0 1.27839e-05 2.123e-06 1.0 1.9
33.0 1.49074e-05 2.123e-06 1.0 1.9
34.0 1.70309e-05 2.123e-06 1.0 1.9
35.0 1.91543e-05 2.123e-06 1.0 1.9
36.0 2.12778e-05 2.123e-06 1.0 1.9
37.0 2.34012e-05 2.123e-06 1.0 1.9
38.0 2.55247e-05 2.123e-06 1.0 1.9
39.0 2.76482e-05 2.123e-06 1.0 1.9
40.0 2.97716e-05 2.123e-06 1.0 1.9
41.0 3.18951e-05 2.123e-06 1.0 1.9
42.0 3.40185e-05 2.123e-06 1.0 1.9
43.0 3.6142e-05 2.123e-06 1.0 1.9
44.0 3.82655e-05 2.123e-06 1.0 1.9
45.0 4.03889e-05 2.123e-06 1.0 1.9
46.0 4.25124e-05 2.123e-06 1.0 1.9
47.0 4.46358e-05 2.123e-06 1.0 1.9
48.0 4.67593e-05 2.123e-06 1.0 1.9
49.0 4.88828e-05 2.123e-06 1.0 1.9
50.0 5.10062e-05 2.123e-06 1.0 1.9
51.0 5.31297e-05 2.123e-06 1.0 1.9
52.0 5.52531e-05 2.123e-06 1.0 1.9
53.0 5.73766e-05 2.123e-06 1.0 1.9
54.0 5.95001e-05 2.123e-06 1.0 1.9
55.0 6.16235e-05 2.123e-06 1.0 1.9
56.0 6.3747e-05 2.123e-06 1.0 1.9
57.0 6.58705e-05 2.123e-06 1.0 1.9
58.0 6.79939e-05 2.123e-06 1.0 1.9
59.0 7.01174e-05 2.123e-06 1.0 1.9
60.0 7.22408e-05 2.123e-06 1.0 1.9
61.0 7.43643e-05 2.123e-06 1.0 1.9
62.0 7.64878e-05 2.123e-06 1.0 1.9
63.0 7.86112e-05 2.123e-06 1.0 1.9
64.0 8.07347e-05 2.123e-06 1.0 1.9
65.0 8.28581e-05 2.123e-06 1.0 1.9
66.0 8.49816e-05 2.123e-06 1.0 1.9
67.0 8.71051e-05 2.123e-06 1.0 1.9
68.0 8.92285e-05 2.123e-06 1.0 1.9
69.0 9.1352e-05 2.123e-06 1.0 1.9
70.0 9.34754e-05 2.123e-06 1.0 1.9
71.0 9.55989e-05 2.123e-06 1.0 1.9
72.0 9.77224e-05 2.123e-06 1.0 1.9
73.0 9.98458e-05 2.123e-06 1.0 1.9
74.0 0.000101969 2.123e-06 1.0 1.9
75.0 0.000104093 2.123e-06 1.0 1.9
76.0 0.000106216 2.123e-06 1.0 1.9
77.0 0.00010834 2.123e-06 1.0 1.9
78.0 0.000110463 2.123e-06 1.0 1.9
79.0 0.000112587 2.123e-06 1.0 1.9
80.0 0.00011471 2.123e-06 1.0 1.9
81.0 0.000116834 2.123e-06 1.0 1.9
82.0 0.000118957 2.123e-06 1.0 1.9
83.0 0.00012108 2.123e-06 1.0 1.9
84.0 0.000123204 2.123e-06 1.0 1.9
85.0 0.000125327 2.123e-06 1.0 1.9
86.0 0.000127451 2.123e-06 1.0 1.9
87.0 0.000129574 2.123e-06 1.0 1.9
88.0 0.000131698 2.123e-06 1.0 1.9
89.0 0.000133821 2.123e-06 1.0 1.9
90.0 0.000135945 2.123e-06 1.0 1.9
